Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Snow Dogs,99,35000000,100,5.1,81150692
Sorority Boys,93,12000000,105,5.4,10198766
Spider,98,8000000,213,6.8,1641788
Spider-Man,121,139000000,2012,7.3,403706375
Spirit: Stallion of the Cimarron,83,80000000,216,7,73215310
Spun,106,2000000,199,6.8,410241
Spy Kids 2: Island of Lost Dreams,100,38000000,107,5.1,85570368
Star Trek: Nemesis,116,60000000,842,6.4,43119879
Star Wars: Episode II - Attack of the Clones,142,115000000,3516,6.7,310675583
Stealing Harvard,85,25000000,92,5.1,13973532
Stolen Summer,91,1500000,55,6.5,119841
Stuart Little 2,77,120000000,69,5.4,64736114
Sunshine State,141,5600000,81,6.9,3064356
Sweet Home Alabama,108,38000000,392,6.1,127214072
Swept Away,89,10000000,215,3.6,598645
Swimfan,85,8500000,217,5,28563926
The Adventures of Pluto Nash,95,100000000,164,3.8,4411102
The Banger Sisters,98,10000000,147,5.6,30306281
The Bourne Identity,119,60000000,849,7.9,121468960
The Business of Fancydancing,103,200000,14,6.9,174682
The Count of Monte Cristo,131,35000000,544,7.7,54228104
The Country Bears,88,35000000,75,4,16988996
The Crocodile Hunter: Collision Course,90,13000000,106,5.4,28399192
The Dangerous Lives of Altar Boys,104,12000000,122,7.1,1779284
The Emperor's Club,109,12500000,139,6.9,14060950
The Four Feathers,125,35000000,215,6.5,18306166
The Good Girl,93,5000000,298,6.5,14015786
The Good Thief,109,25000000,103,6.6,3517797
The Guru,94,11000000,128,5.4,3034181
The Heart of Me,96,7000000,25,6.7,196067
The Hours,114,25000000,660,7.6,41597830
The Importance of Being Earnest,97,15000000,141,6.9,8378141
The Lord of the Rings: The Two Towers,172,94000000,2417,8.7,340478898
The Master of Disguise,80,16000000,307,3.3,40363530
The Mothman Prophecies,119,32000000,460,6.5,35228696
The New Guy,92,13000000,159,5.9,28972187
The Pianist,150,35000000,761,8.5,32519322
The Quiet American,101,30000000,199,7.1,12987647
The Rookie,127,20000000,174,7,75597042
The Rules of Attraction,110,4000000,425,6.7,6525762
